year,lag_hours,autocorrelation
2020,1,0.9377182066016396
2020,2,0.8443610699572588
2020,3,0.7436298370826891
2020,4,0.6433561044074543
2020,6,0.46185208992555127
2020,12,0.2394022121754222
2020,24,0.6794109226725983
2020,48,0.5789627735794786
2020,72,0.551711476733988
2020,168,0.5287217496649279
2021,1,0.9229417004685097
2021,2,0.8171303369571299
2021,3,0.7149447931123748
2021,4,0.6183973666731256
2021,6,0.45577958379978667
2021,12,0.2790136596960856
2021,24,0.588264499376707
2021,48,0.48639025990520485
2021,72,0.4671663131050538
2021,168,0.4902358470262782
2022,1,0.9187595337481067
2022,2,0.8064040851210403
2022,3,0.6970747477417416
2022,4,0.5959007368993754
2022,6,0.4214147424664522
2022,12,0.21683941716864924
2022,24,0.6366587354862371
2022,48,0.5519270009639792
2022,72,0.5001344605996652
2022,168,0.5252174486675965
2023,1,0.9146129672335862
2023,2,0.7976400530928442
2023,3,0.6807930843842629
2023,4,0.5696458427931343
2023,6,0.3938833537879647
2023,12,0.21713228886680408
2023,24,0.6001542439843619
2023,48,0.5347296638451211
2023,72,0.4887791657157642
2023,168,0.4641525978699598
2024,1,0.9249835053658261
2024,2,0.8226858308132824
2024,3,0.7232450098464981
2024,4,0.6263074618062989
2024,6,0.4638496113932807
2024,12,0.31085887163435166
2024,24,0.6199222147187908
2024,48,0.5365230249897021
2024,72,0.5225673113029778
2024,168,0.49746285803373724
2025,1,0.926378529962661
2025,2,0.8284565969718978
2025,3,0.731622335313905
2025,4,0.6357852616668992
2025,6,0.47245547001219335
2025,12,0.3002344998023547
2025,24,0.6308821587622869
2025,48,0.5591802939065745
2025,72,0.5408917391579015
2025,168,0.5136504941151785
