,count,mean,median,std,q25,q75,p95,max
Lunes,7183,44.42475288876514,46.0,24.984632087841476,26.0,62.0,84.0,118.0
Martes,7250,43.18110344827586,44.0,24.894959939168327,24.0,62.0,83.0,136.0
Miércoles,7352,43.71585963003265,45.0,25.481235292451277,24.0,63.0,84.0,167.0
Jueves,7296,44.383360745614034,46.0,25.771875101820033,24.0,64.0,85.0,131.0
Viernes,7308,44.43992884510126,46.0,26.222215293443767,24.0,64.0,88.0,130.0
Sábado,7325,49.48491467576792,50.0,26.125358380342274,32.0,68.0,92.0,141.0
Domingo,7228,50.38862755949087,51.0,25.550345726848793,34.0,68.0,90.0,141.0
