rank,model,label,selection_score,mean_mae,mean_rmse,min_coverage,mean_coverage,max_undercoverage_loss,mean_interval_score,mean_point_score,mean_interval_quality_score,mean_coverage_score,xai_admissibility,decision
1,catboost,CatBoost + CQR,0.11823529411764716,11.192777153388233,14.453274196556517,0.779189352692075,0.7916515426497278,0.020810647307925034,49.10557097476749,0.0,0.0,0.5911764705882359,admisible,Seleccionado
2,lightgbm,LightGBM + CQR,0.17208299814440803,11.28223352534332,14.571878391069156,0.7830611010284332,0.7921355111917725,0.016938898971566863,49.768136843672096,0.022295063301291412,0.02706037394522671,0.7617041162290039,admisible,"Admisible, no seleccionado"
3,linear_regression,Regresión lineal + CQR,0.19976195463659988,11.859635719913603,15.242972069693995,0.78681185722928,0.7941318814277072,0.013188142770720002,52.462065627477195,0.14261091296782902,0.12407061910544341,0.46544670903645446,admisible,"Admisible, no seleccionado"
4,baseline_seasonal_naive,Modelo base + SC,0.8136363636363637,16.664004839685422,21.84784318104746,0.7996370235934664,0.7996370235934664,0.0003629764065335994,79.19540229885058,1.0,1.0,0.06818181818181818,admisible,Referencia transparente
