model,model_display,label,mean_mae,mean_rmse,min_coverage,mean_coverage,mean_width,mean_interval_score,mean_undercoverage_loss,max_undercoverage_loss,mean_point_score,mean_interval_quality_score,mean_coverage_score,selection_score,xai_admissibility,xai_is_admissible,coverage_is_admissible,is_admissible,rank
catboost,CatBoost,CatBoost + CQR,11.192777153388233,14.453274196556517,0.779189352692075,0.7916515426497278,35.21947085665769,49.10557097476749,0.00877192982456143,0.020810647307925034,0.0,0.0,0.5911764705882359,0.11823529411764716,admisible,True,True,True,1
lightgbm,LightGBM,LightGBM + CQR,11.28223352534332,14.571878391069156,0.7830611010284332,0.7921355111917725,35.85729278608646,49.768136843672096,0.007864488808227516,0.016938898971566863,0.022295063301291412,0.02706037394522671,0.7617041162290039,0.17208299814440803,admisible,True,True,True,2
linear_regression,Regresión lineal,Regresión lineal + CQR,11.859635719913603,15.242972069693995,0.78681185722928,0.7941318814277072,38.37056706714424,52.462065627477195,0.006624319419237801,0.013188142770720002,0.14261091296782902,0.12407061910544341,0.46544670903645446,0.19976195463659988,admisible,True,True,True,3
baseline_seasonal_naive,Modelo base ingenuo estacional,Modelo base + SC,16.664004839685422,21.84784318104746,0.7996370235934664,0.7996370235934664,54.0,79.19540229885058,0.0003629764065335994,0.0003629764065335994,1.0,1.0,0.06818181818181818,0.8136363636363637,admisible,True,True,True,4
